kind,slug,route_or_routes,source_updated,historical_maturity,capability,historical_gaps_and_amendments,reconciliation_to_current_main,source_path,purpose_line,gap_line,review_status,review_sections
software,admin-health,"[""/admin"", ""/admin/health"", ""/dev-sandbox""]",2026-09-01,partial,"Operational health and an internal UI test bench: provider/agent health, drill-down and configuration controls.","Older note records real gateway-proxied health but decorative Redis/RabbitMQ rows, device-only settings and restart-as-refresh; failed health could look like empty fleet.",ADR0143 specifies merging /admin/health into /admin and tightly restricting restart. Current router still has both; decided consolidation is unfinished.,repository/.planning/08-softwares/admin-health.md,19,136,read_targeted,"0,1,7,8"
software,app-shell-support,"[""/help"", ""/privacy"", ""/credits""]",2026-09-01,partial,"Help, public privacy representation, and compatibility redirects.",Support mail/Slack defaults unverified; notice accuracy has no automatic coupling to changed telemetry. Redirects themselves work.,Current public/help work remains a separate new-page lane. Verify real support mailbox and privacy behavior during domain transition.,repository/.planning/08-softwares/app-shell-support.md,20,70,read_targeted,"0,1,7,8"
software,auth-onboarding,"[""/login"", ""/register"", ""/forgot-password"", ""/reset-password"", ""/verify-email"", ""/invite/:code"", ""/no-access"", ""/get-started"", ""/onboarding"", ""/profile""]",2026-09-01,partial,"Account creation/join, identity-first sign-in, verification/recovery, activation/import and personal account management.","Note corrects earlier OAuth auto-provisioning and invite-join takeover findings as fixed. Remaining historical seams include no-membership fallback, raw email case, bearer invites, dormant wizard and route/error handling.",Current auth challenge/rate-limit work exists; latest public build and Arrival design do not mean every account transition was verified. Current branch-switch defect is confirmed separately.,repository/.planning/08-softwares/auth-onboarding.md,19,133,read_targeted,"0,1,7,8"
software,calendar,"[""/calendar"", ""/calendar-classic""]",2026-09-01,partial,"Restaurant events, recurrence/exceptions, drag editing, event types, vendor linkage and subscriptions.","Event CRUD real; older memo collection, label/edit loss and browser-only reminders were open. Agent publishers and external iCal subscription were unproven.",Wave Four later added server reminders; calendar-push port remains separately stranded. Do not repeat no-server-reminders as current without checking that newer code.,repository/.planning/08-softwares/calendar.md,19,117,read_targeted,"0,1,7,8"
software,communications-hub,"[""/communications""]",2026-09-01,hollow,"Supplier conversations, reusable mail/text templates, outbound audit and report scheduling.","Read-side conversations and procurement history real; report generation/scheduling and summary event consumer gaps. Ownership crosses transport, policy, inference and common/orchestrator.",Current main has house letters/archive/text sender registry. PR368 transport port remains open. Legacy vs new template workshop behavior differs; send eligibility and actual provider delivery need separate evidence.,repository/.planning/08-softwares/communications-hub.md,19,145,read_targeted,"0,1,7,8"
software,dashboard-home,"[""/""]",2026-09-01,partial,"Morning operating page: today’s figures, day calendar, activity, reminders and human approval queue.","Software note explicitly corrects same-commit page claims of fake approvals and spend-as-revenue. Derived client cards, relative iCal URL and overlapping metric definitions remained.","Current new dashboard is day-first with waiting rail. Current source/flag must be named; old hollow verdict is superseded, but figures require producer and failure-state checks.",repository/.planning/08-softwares/dashboard-home.md,20,112,read_full,Full file
software,global-vendor-search,"[""/providers?tab=discover"", ""/distributors""]",2026-09-01,partial,"Find distributors serving a location, filter the catalogue/map and inspect their offerings.","Discovery reads real catalogue; record says no direct discovery-to-owned-provider write, no refresh producer or freshness indicator.",Same Provider page also has catalogue-add; distinguish shared catalogue add from map discovery handoff before alleging a missing button. Current supplier feeds are later code.,repository/.planning/08-softwares/global-vendor-search.md,19,86,read_targeted,"0,1,7,8"
software,inventory-command,"[""/inventory""]",2026-09-01,partial,"Stock truth, live/shadow view, counts/outbox, storage/pour-down, menu intake, delivery verification and item evidence.","Ledger-backed counts real. Market data producer absent, stub agents, item invoice-line join and contextual-insight/ledger navigation gaps recorded.","Later page amendments close POS mapping, sale-unit, unknown-cost and below-par inconsistencies. Current provisional lot cost and inbound/outbound activity matter; legacy software gaps are not a current bug list.",repository/.planning/08-softwares/inventory-command.md,19,138,read_targeted,"0,1,7,8"
software,notifications,"[""/notifications""]",2026-09-01,partial,"Durable inbox, dispositions, channel/category preferences, push and shared approval queue.",Reads/writes and several producers real. Custom actions were local; failed query could look empty; browser push hook unused; duplicate runtime ownership ambiguous.,Later held-alert records and stack corrections landed. ADR0121 transport/category claims belong to open PR368; current NotificationNext differs from old discarded-error page.,repository/.planning/08-softwares/notifications.md,19,124,read_targeted,"0,1,7,8"
software,orders,"[""/orders""]",2026-09-01,partial,"PO lifecycle and supplier reply/deal workflow, ending in delivery and stock booking.","Real idempotent ledger booking and guarded vendor draft control. Phantom add-from-order request, unmapped inventory silent skip, shared insights auth and giant component recorded.",Current new order capture has deeper unit/status gates; ADR0145 places consequential seal at approve/send. Old successful delivery is not proof all lines were booked.,repository/.planning/08-softwares/orders.md,19,110,read_targeted,"0,1,7,8"
software,pos-bridge,[],2026-09-01,backend-only,"Integrate existing POS through canonical checks, mapping, idempotent stock depletion and unresolved-line review.",Older no-screen/null-sale-unit findings amended closed by307; SimPOS fidelity and null-to-zero coercion closed by310. Real merchant traffic was not established by fixtures.,Current connection-row implementation and mapping surface exceed initial dossier. Preserve provider-specific signing and connection ownership proof; do not interpret simulator coverage as real POS adoption.,repository/.planning/08-softwares/pos-bridge.md,19,174,read_targeted,"0,1,7,8"
software,promotions,"[""/promotions"", ""/promotions?tab=senders"", ""/promotions?tab=prospects""]",2026-09-01,partial,"Supply-side offers, sender trust and cold supplier prospects; promote/dismiss/restore and order handoff.","Three live producers; old dormant claim explicitly withdrawn. Offer dismissal browser-local, three backends/owners and duplicate offer displays.",ADR0144 specifies house-wide dismissal and paid-price comparison; latest handoff says remaining page builds unfinished. No basis to call the complete redesigned promotions page shipped.,repository/.planning/08-softwares/promotions.md,20,145,read_targeted,"0,1,7,8"
software,receipts-invoice-match,"[""/receipts"", ""/receipts?tab=credits"", ""/documents-reports""]",2026-09-01,partial,"Vendor paper → extraction/provenance → line match → discrepancy/credit evidence, plus historical report archive.","Receipts stronger than report archive; earlier no generated file, unsent credit transition, UUID memo picker and native matcher drift. Sept11 adds printed-tax vendor resolution and remembered shelf mapping.","Canonical document slices are later code, not equivalent to old archive. Preserve extracted/resolved/adjudicated layers; verified cost finalization and real recovered money are separate from requesting a claim.",repository/.planning/08-softwares/receipts-invoice-match.md,19,256,read_targeted,"0,1,7,8"
software,receiving,"[""/receiving"", ""/receiving/:orderId/door""]",2026-09-01,partial,"Fast, cost-free door evidence; manager discrepancy queue; owner recovered-money view.",Software explicitly corrects staff invalid-status/unwrap/error failures as already fixed; differential booking and idempotency strong. Manual reconcile and cross-page ownership remain.,Later ADR0103 delivery state machine books provisional quantity at door and settles cost at VERIFIED. Current web/native outbox lifecycle issues are independently confirmed and outrank old orphan-page claim.,repository/.planning/08-softwares/receiving.md,19,96,read_targeted,"0,1,7,8"
software,recommendations,"[""/recommendations"", ""/recommendations/catalog""]",2026-09-01,partial,"Deterministic observed number → proposed operational response, disposition/history/team assignment; catalogue of possible findings.",Same-commit no-auth failures fixed. Acting records disposition rather than proof of external execution; navigation and stale catalogue count discrepancies.,Current new feed/dismiss behavior and real catalogue readiness exist. Do not equate all candidate insight types with those computable for this house or with autonomous actions.,repository/.planning/08-softwares/recommendations.md,19,139,read_targeted,"0,1,7,8"
software,recurring-orders,[],2026-09-01,backend-only,A schedule stages a purchase proposal; human approves before supplier contact.,"Real API and registered propose-only agent; UI collects then refuses, standalone page unrouted and uses wrong auth path. Old claim plain class/not registered explicitly false.","No standalone recurring route in current61-pattern router, but current Orders implements per-order recurrence that stages pending proposals, with pause/end and human seal. Read current-documentation-delta.md before interpreting older UI refusal as current.",repository/.planning/08-softwares/recurring-orders.md,19,138,read_targeted,"0,1,7,8"
software,reports-analytics,"[""/reports"", ""/logs""]",2026-09-01,partial,"Understand spend, stock and operations with configurable blocks, engine findings, comparisons, exports and evidence timeline.",Old fabricated AI palette removed; report button removed because no file producer. Three competing metric paths; historical logs failure-to-empty later fixed in page note.,"Current ReportsNext graph/analysis switching is substantial. Current /logs correlation tenant issue remains; current /ask Reading page is still specified future, not the existing report palette.",repository/.planning/08-softwares/reports-analytics.md,20,146,read_targeted,"0,1,7,8"
software,settings-integrations,"[""/settings"", ""/services"", ""/authorize/:integrationId""]",2026-09-01,partial,"House configuration, members/locations, units, sender/preferences, POS and integration consent.",Historical22-column flag table wrong; removed gate-less controls and real autonomy gate exposed. Service-permission toggles had no consumer. Integration catalogue vs hardcoded IDs and iCal unproven.,"Current EAV flag registry and /connections supersede old all-in-Settings map. House/person ownership, server-enforced consent and callback origins require current checks.",repository/.planning/08-softwares/settings-integrations.md,19,120,read_targeted,"0,1,7,8"
software,simpos,"[""/simpos/:restaurantId"", ""/simpos/:restaurantId/orders"", ""/simpos/:restaurantId/scenarios""]",2026-09-02,partial,Internal synthetic till and scenario harness driving signed real integration paths.,"Dev-only fixture; read errors, shared signing rung and mixed environment hazards. Sept5 amendment closes price/category/money/clock fidelity defects.","Simulation changes actual chosen fixture tenant state. 44-check real-menu artifact proves a simulator exercise, not merchant activity. Current backend/flags separate from browser dev route.",repository/.planning/08-softwares/simpos.md,19,146,read_targeted,"0,1,7,8"
software,team-command,"[""/team""]",2026-09-01,live,Staff week/acknowledge/timeoff/cover; manager schedule/certification/coverage/performance/broadcast.,"Called live by dossier on endpoint evidence, then corrects own claim every error was handled. Scheduling tables empty in dated production sample; performance manual and credentials lack applicability.",Current new team parity/read errors improved. Endpoint-backed is not real adoption. ADR0147 endpoint roles landed; exact certification scope/renewal trace still require current code before claiming closure.,repository/.planning/08-softwares/team-command.md,19,109,read_targeted,"0,1,7,8"
software,vendor-directory,"[""/providers?tab=mine""]",2026-09-01,partial,"Owned supplier roster, contacts/locations, order history and relationship intelligence.",Roster CRUD/catalogue dedupe real; intelligence depends on dormant or dead-key producers; price page lacked link. Multiple modules lack product boundary.,Sept11 vendor identity can be created provisionally from printed document tax identity. This is distinct from speculative name matching and from activation of relationship-intelligence agents.,repository/.planning/08-softwares/vendor-directory.md,19,139,read_targeted,"0,1,7,8"
software,vendor-portal,"[""/v/:slug""]",2026-09-01,hollow,Public supplier catalogue with normalized prices and contact details; intended trustworthy structured price source.,"Careful read scoping/publication guard; no publisher/writer/auth mechanism in old review, duplicate JSON-LD, client-only SEO, no traffic or growth hook.",Current /v/:slug remains public. No evidence here establishes self-service publishing; latest page policy on attribution/public preview remains to be decided.,repository/.planning/08-softwares/vendor-portal.md,20,119,read_targeted,"0,1,7,8"
software,vendor-price-compare,"[""/vendor-prices""]",2026-09-01,hollow,Compare observed vendor prices and7/30/90-day trends with provenance; manually record a quote.,"Honest null/error behavior; six advertised sources but only manual producer, no navigation, unscheduled sweep, wine-only and no freshness contract.",Later supplier/index code does not automatically prove this screen consumes it. ADR0144 requires invoice-authoritative paid comparisons and real permissions/currency/observation scope.,repository/.planning/08-softwares/vendor-price-compare.md,19,118,read_targeted,"0,1,7,8"
software,wine-library-sommelier,"[""/wines"", ""/sommelier""]",2026-09-01,hollow,"Browse/filter catalogue, add to house stock, pairings/buyer/training assistant entry.",Library reads real; legacy order/recurring success and exported fake attributes recorded. Sommelier missing chat backend;317 later fixes real-inventory fallback and labels it unavailable.,Current wider cellar is a separate flagged page family. ADR0145 decides /ask and sommelier redirect but both are unbuilt in current router; do not present planned Reading as current assistant.,repository/.planning/08-softwares/wine-library-sommelier.md,20,153,read_targeted,"0,1,7,8"
