path,commit,type,bytes,lines,sha256,changed_since_supplied,read_status,read_scope,source_url
.planning/06-pages/COLOR-AUDIT-PLATFORM.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,support,35689,600,cce852cbf79d9f58955cc3ecbffc425baf53e1394ba8dab08ed4417332057a55,False,inventoried_only,"Current file fingerprinted and indexed, not a claim of semantic full read.",https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/COLOR-AUDIT-PLATFORM.md
.planning/06-pages/COLOR-AUDIT-WEB.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,support,54103,694,f31a8bc6f818c2e5bbe3b77a1737e01814b5927aea1dd152b78b3b1217938c33,False,inventoried_only,"Current file fingerprinted and indexed, not a claim of semantic full read.",https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/COLOR-AUDIT-WEB.md
.planning/06-pages/COLOR-CONTRAST-REPORT.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,support,40926,741,4f5983868412925eb366353c083980fba66755f53aebc7f5a6e8671c990f7c79,False,inventoried_only,"Current file fingerprinted and indexed, not a claim of semantic full read.",https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/COLOR-CONTRAST-REPORT.md
.planning/06-pages/DESIGN-FOUNDATION.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,support,100357,1114,e1b5c0fe80d3360121143283be20a8c90432bebf89aa8c96664649502632068c,True,read_targeted_current,Added design rationale and decisions selectively read; competitive citations not independently reverified.,https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/DESIGN-FOUNDATION.md
.planning/06-pages/MAKEOVER-VERDICTS.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,support,19316,377,0b300deed7c04530419e3140b9dfe0e8882f092e17b4748c09363fe84bece735,False,inventoried_only,"Current file fingerprinted and indexed, not a claim of semantic full read.",https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/MAKEOVER-VERDICTS.md
.planning/06-pages/PAGE-CONTRACT.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,support,6819,82,0c0291253be36dfd9ca26fb2c26232338a556baaa94b22687813c06bfb8b7996,False,inventoried_only,"Current file fingerprinted and indexed, not a claim of semantic full read.",https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/PAGE-CONTRACT.md
.planning/06-pages/PAGES-MAP.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,support,11891,187,4cb361eb5cb603ec4790167ad56438aad4732d66ee3efe8f344b440650fa9838,True,read_diff_current,Complete current delta against supplied baseline reviewed; existing baseline narratives previously read where a dossier.,https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/PAGES-MAP.md
.planning/06-pages/RETIRED.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,support,10521,175,69f7ebd1c3992e07807d2954d660a05f8de88e95ac2dbd7f1c93f47b4870e4ad,False,inventoried_only,"Current file fingerprinted and indexed, not a claim of semantic full read.",https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/RETIRED.md
.planning/06-pages/admin-health.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,page,10262,180,7b7592036b9ac8dc7c608cf0e8d26ba87da31cd803f8b1788c14aa96b322e470,True,read_diff_current,Complete current delta against supplied baseline reviewed; existing baseline narratives previously read where a dossier.,https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/admin-health.md
.planning/06-pages/admin.md,60ed83a7e6d5eb8b8e0e631783a598cd0f562bff,page,12540,203,0097a3dd26117391d0f310e449e38cc4e1ff166624f1310c6b46c38659b931c2,False,unchanged_baseline_narratives_read,Purpose/features/maturity/gaps/future as recorded in historical matrix; unchanged bytes at audited current commit.,https://github.com/aldemirkonuk/RestaurantAIAutomation/blob/60ed83a7e6d5eb8b8e0e631783a598cd0f562bff/.planning/06-pages/admin.md
