id,name,category,domain,description,data_sources,priority,status,toast_relationship,build_strategy
1,Stock Change Ledger,Inventory & Stock,inventory,"Every increment/decrement with reason (POS, delivery, manual, spoilage)","event_store, decision_log, Toast",tier1,planned,wineops_only,build
2,Stock Velocity Score,Inventory & Stock,inventory,Bottles sold per day per SKU with trend direction,"POS, inventory",tier1,planned,wineops_only,build
3,Days-of-Cover Forecast,Inventory & Stock,inventory,current_stock ÷ avg_daily_sales per wine,"inventory, POS",tier1,planned,wineops_only,build
4,Shrinkage Anomaly Detection,Inventory & Stock,inventory,Digital vs physical count divergence over time,"manual counts, POS",tier2,planned,wineops_only,build
5,Par Level Optimizer,Inventory & Stock,inventory,AI min/max from lead time + demand variance,"sales, vendor lead times",tier2,planned,wineops_only,build
6,Vintage Substitution Impact,Inventory & Stock,inventory,Success rate when primary vintage sells out,"POS matching, inventory",tier2,planned,wineops_only,build
7,Low-Stock Alert Effectiveness,Inventory & Stock,inventory,Alert → action → reorder latency,notification_deliveries,tier1,planned,wineops_only,build
8,Multi-Location Stock Rebalancing,Inventory & Stock,inventory,Imbalance across cellar/bar/BoH,storage_locations,tier2,planned,wineops_only,build
9,Busy Day Calendar Heatmap,Sales & Demand,sales,"Covers, wine revenue, bottles by day/month",Toast,tier1,planned,toast_overlap,build
10,Busy Day ↔ Wine Correlation,Sales & Demand,sales,SKU spikes by day-of-week,"POS, calendar",tier1,planned,toast_overlap,build
11,Peak Hour Wine Demand,Sales & Demand,sales,Hourly bottle velocity,Toast timestamps,tier1,planned,toast_overlap,build
12,Sales by Server,Sales & Demand,sales,"Revenue, bottles, avg check per server",POS,tier1,planned,toast_overlap,build
13,BTG vs Bottle Mix,Sales & Demand,sales,Pour vs full-bottle rate per wine,POS modifiers,tier2,planned,toast_overlap,build
14,Wine Pairing Co-occurrence,Sales & Demand,sales,Food+wine combos on same ticket,POS checks,tier2,planned,toast_overlap,build
15,Cohort Repeat Purchase,Sales & Demand,sales,Reorder same wine within 30/60/90 days,POS patterns,tier2,planned,toast_overlap,build
16,Revenue Attribution by Category,Sales & Demand,sales,Red/white/sparkling/BTG contribution %,"ontology, POS",tier2,planned,toast_overlap,build
17,Weather ↔ Sales Correlation,Weather & External,forecasting,Rain/temp vs category sales,"OpenWeather, POS",tier2,planned,wineops_only,build
18,7-Day Weather Forecast Overlay,Weather & External,forecasting,Predicted weather on busy calendar,"Weather API, demand model",tier2,planned,wineops_only,build
19,Event Proximity Impact,Weather & External,forecasting,Local events within 2km vs demand,"Events API, calendar",tier2,planned,wineops_only,build
20,Seasonal Decomposition,Weather & External,forecasting,Trend + seasonality + residual per SKU,12mo time series,tier3,planned,wineops_only,build
21,Interaction Heatmap,Manager UX,ux,"Clicks on charts, tabs, filters, exports",frontend telemetry,tier2,planned,wineops_only,build
22,Cursor / Scroll Depth Analytics,Manager UX,ux,Where managers linger on reports,session replay,tier2,planned,wineops_only,build
23,Widget Engagement Ranking,Manager UX,ux,Most/least opened dashboard cards,dashboard events,tier2,planned,wineops_only,build
24,AI Layout Recommendations,Manager UX,ux,Weekly dashboard reorder proposals,interaction + role,tier2,planned,wineops_only,build
25,Query Intent Log,Manager UX,ux,NL questions in Sommelier AI,chat logs,tier2,planned,wineops_only,build
26,Time-to-Decision,Manager UX,ux,Alert open → approve/reject seconds,approval UI,tier2,planned,wineops_only,build
27,Velocity-Based Placement Score,Storage & Placement,inventory,Fast movers → bar reach recommendation,"velocity, storage_locations",tier2,planned,wineops_only,build
28,Pick-Path Efficiency,Storage & Placement,inventory,Time from alert to physical retrieval,"manual logs, locations",tier2,planned,wineops_only,build
29,Cellar Utilization %,Storage & Placement,inventory,Capacity used per zone,location capacity,tier2,planned,wineops_only,build
30,Temperature Zone Compliance,Storage & Placement,compliance,Wrong temp zone vs ontology,"storage, wine type",tier2,planned,wineops_only,build
31,Delivery Performance Dashboard,Vendor & Procurement,vendor,"On-time %, delays, partial shipments","delivery records, PO",tier1,planned,wineops_only,build
32,Vendor Response Time (Email),Vendor & Procurement,vendor,Median hours to first reply,"Gmail, EmailIntel",tier1,planned,wineops_only,build
33,Vendor Response Time (SMS),Vendor & Procurement,vendor,Plivo thread latency,SMS logs,tier2,planned,wineops_only,build
34,Lead Time Distribution,Vendor & Procurement,vendor,Order → received per vendor/SKU,"PO, receipts",tier2,planned,wineops_only,build
35,Vendor Price Change Tracker,Vendor & Procurement,vendor,Historical unit price deltas,"negotiation_facts, invoices",tier1,planned,wineops_only,build
36,Cross-Vendor Price Spread,Vendor & Procurement,vendor,Same wine across vendors $ delta,"EmailIntel, price history",tier1,planned,wineops_only,build
37,Procurement Cycle Analytics,Vendor & Procurement,vendor,Alert → PO → delivery → stock-in funnel,"saga_state, event_store",tier2,planned,wineops_only,build
38,Future Price Prediction,Pricing & Buy-More,financial,Predicted price change + reasons,"vendor emails, crawls",tier3,planned,wineops_only,build
39,Margin Erosion Alert,Pricing & Buy-More,financial,"COGS up, menu price flat","invoices, menu",tier2,planned,wineops_only,build
40,Markup Ratio Benchmark,Pricing & Buy-More,financial,Your markup vs metro average,restaurant_inventory,tier2,planned,wineops_only,build
41,Price Elasticity Estimate,Pricing & Buy-More,financial,Volume change after menu price edit,"menu_changes, POS",tier3,planned,wineops_only,build
42,Promo ROI Calculator,Pricing & Buy-More,financial,Revenue lift vs discount cost,"POS promos, vendor promos",tier2,planned,wineops_only,build
43,Bundle vs Sum Valuation,Promotions,vendor,Detect misleading bundle pricing,EmailIntel PROMO,tier2,planned,wineops_only,build
44,Vendor Promo Urgency Score,Promotions,vendor,Expiry + historical promo quality,vendor_promotions,tier2,planned,wineops_only,build
45,Promo Conversion Rate,Promotions,vendor,Promo → PO → stock received,email → procurement,tier2,planned,wineops_only,build
46,Competitor Promo Intelligence,Promotions,market,Promo terms across vendor network,cross-restaurant promos,tier3,planned,wineops_only,build
47,Holiday Readiness Calendar,Calendar & Holidays,calendar,"Valentine's, NYE prep checklist","CalendarAgent, history",tier1,planned,wineops_only,build
